client_id,client_name,client_dob,client_type,client_created_by
1,Leslie Jones,27/04/1980,first-home buyer,47
2,Kathleen Hernandez,13/09/1970,first-home buyer,41
3,Sherri Johnson,24/04/2003,first-home buyer,71
4,April Williams,12/03/1962,first-home buyer,79
5,Megan Mcgee,9/07/1992,first-home buyer,63
6,Victoria Young,8/02/2007,first-home buyer,27
7,Paul Thornton,7/11/1979,first-home buyer,75
8,Laura Allen,17/10/1988,first-home buyer,15
9,Carolyn Garcia,6/05/1979,first-home buyer,50
10,Ryan King,21/03/1987,first-home buyer,45
11,Jill Garcia,27/09/1972,first-home buyer,44
12,Carlos Benitez,12/01/1995,first-home buyer,24
13,Scott Pope,6/07/2006,first-home buyer,31
14,Rachel Flores,14/06/1986,first-home buyer,8
15,Sonya Todd,6/04/1988,first-home buyer,20
16,Amanda Evans,7/04/1976,first-home buyer,24
17,Melanie Harrison,16/11/1983,first-home buyer,15
18,Natalie Miller,25/12/1975,first-home buyer,7
19,Edward Sims,29/03/1973,first-home buyer,80
20,Terri Banks,8/08/1998,first-home buyer,44
21,Tristan Johnson,16/09/1992,first-home buyer,79
22,Michelle Ellis,9/07/1995,first-home buyer,59
23,Jermaine Salazar,14/03/1985,first-home buyer,62
24,Tiffany Kelly,29/08/1964,first-home buyer,4
25,Michelle Potter,24/04/1983,first-home buyer,13
26,Andrew Williams,21/05/2005,first-home buyer,60
27,Michael Hodge,14/12/1976,first-home buyer,26
28,Samuel Berger,16/09/1989,first-home buyer,51
29,John Rogers,17/07/1971,first-home buyer,24
30,Tiffany Shepard,6/06/1984,first-home buyer,7
31,Shannon Johnson,27/04/1966,first-home buyer,49
32,Catherine Greer,29/08/1966,first-home buyer,31
33,Rebecca Middleton,4/11/1994,first-home buyer,13
34,Cathy Lloyd,26/04/2002,first-home buyer,38
35,Luis Garcia,8/03/1990,first-home buyer,75
36,Laura Clark,28/08/1969,first-home buyer,25
37,Cody Brown,21/02/1966,first-home buyer,63
38,Nicole Davis,25/09/1991,first-home buyer,21
39,Carla Case,11/08/1988,first-home buyer,14
40,Joseph James,21/01/1963,first-home buyer,74
41,Michael Alvarado,14/11/1967,first-home buyer,72
42,Christine Cortez,17/03/1976,first-home buyer,35
43,Lorraine Rogers,27/09/1982,first-home buyer,56
44,Matthew Jimenez,28/05/1969,first-home buyer,19
45,Mark Werner,20/08/1980,first-home buyer,77
46,Kevin Burke,9/08/1968,first-home buyer,14
47,Charles Cooper,2/11/2000,first-home buyer,31
48,James Hale,14/01/1973,first-home buyer,37
49,Dr. Julia Rojas DVM,10/07/1965,first-home buyer,60
50,Karen Pittman,25/11/1998,first-home buyer,34
51,Shawn Klein,14/08/1993,first-home buyer,5
52,Eric Poole,25/10/1990,first-home buyer,73
53,Rhonda Bates,7/07/2004,first-home buyer,20
54,Brandon Turner,5/08/1992,first-home buyer,20
55,John Adams,18/11/1974,first-home buyer,22
56,Courtney Watkins,5/12/1990,first-home buyer,18
57,Kellie Hawkins,19/07/1997,first-home buyer,52
58,Pamela Wallace,6/11/1972,first-home buyer,2
59,Mark Myers,11/11/1987,first-home buyer,16
60,Matthew Lee,11/07/1965,first-home buyer,38
61,Melissa Gonzalez,28/02/1971,first-home buyer,79
62,Joshua Reynolds,1/11/1973,first-home buyer,28
63,Sean James,31/05/1967,first-home buyer,27
64,Danielle Morris,6/12/1961,first-home buyer,41
65,Natalie Rich,22/05/1984,first-home buyer,15
66,Lisa Morales MD,19/09/1979,first-home buyer,16
